Viagens Diárias  Produzidas por Modo Principal e por Zona de Origem - 2012;;;;;;;;;;;;;
Zona;Ônibus;Transporte fretado;Transporte escolar;Dirigindo automóvel;Passageiro de automóvel;Táxi;Metrô;Trem;Moto;Bicicleta;A pé;Outros;Total
1;457780;4694;17909;409368;149663;36079;700664;78107;74420;15425;841099;0;2785207
2;264258;5073;76297;208475;77604;804;33694;32523;38949;2373;365733;1821;1107604
3;304993;2339;81556;259891;110940;4677;50602;6983;10250;7016;383236;0;1222482
4;468064;3636;99318;443294;188567;2767;206084;20331;34125;24611;432110;4988;1927894
5;126823;1189;18713;204108;84651;681;77369;21846;15067;1244;126936;523;679150
6;190451;2712;34255;169977;89363;0;43863;5986;25269;8190;360709;2767;933543
7;177753;4254;31405;264177;102186;531;106275;26002;17695;1047;251941;5091;988358
8;103729;3053;20777;157356;73967;480;87074;3236;10768;2544;209063;0;672048
9;177954;1929;56137;199785;99754;1594;94199;7667;11865;1063;240119;1063;893129
10;264495;7663;95114;162284;131068;531;88341;42821;18626;20562;461498;2810;1295812
11;163030;649;57673;128228;68278;0;81958;14081;9462;1757;298575;1298;824988
12;176143;3837;42318;106103;52147;480;31035;2918;9667;3782;331075;2398;761905
13;133875;0;34549;82276;31401;0;72469;43170;4451;0;340828;0;743019
14;199951;2892;6380;209452;62872;14977;185211;18272;15198;3415;189290;0;907911
15;260790;4899;18364;370573;114145;19953;84006;40877;42726;4908;233434;896;1195572
16;145168;544;7093;215371;52021;8065;222047;1599;8349;4102;226772;0;891129
17;192028;3511;42689;210051;108706;1516;93896;12153;32857;7625;373851;0;1078882
18;535956;14817;122080;400695;150852;4384;172069;37005;57830;8148;486185;0;1990021
19;336357;4357;85115;140971;50050;0;65188;35007;29775;22874;552573;0;1322266
20;335359;12319;78833;162490;96926;2436;74772;9093;40509;2795;589079;2795;1407406
21;234988;4036;85109;192111;59780;896;40922;8880;36517;5214;316487;3691;988631
22;186240;5669;38674;160996;65729;260;48889;14304;22967;5722;174297;0;723745
23;273845;5340;20696;334549;114923;7826;146872;78752;27905;2679;198539;816;1212741
24;144189;23638;31670;133505;74135;0;34531;74063;22832;0;302709;1473;842747
25;650294;28318;107556;473354;194005;0;70000;9302;63054;23380;921627;5895;2546786
26;467962;25289;58562;421171;219933;4215;73169;112265;53004;35123;1104758;8705;2584155
27;565689;68648;196816;817657;420360;9491;75738;177687;106876;13247;954884;7118;3414212
28;607983;57385;152841;617760;309658;7375;40190;11473;65301;0;782017;2373;2654355
29;295322;14454;75819;230920;76666;5138;43918;8552;26117;9793;504038;6796;1297533
30;123943;4710;15116;96249;38192;0;7204;1107;10720;2183;177530;904;477860
31;817872;67573;201700;661091;238105;0;66739;185079;95811;26965;977197;6242;3344374
Total;9383283;389427;2011132;8644290;3706649;135156;3218989;1141140;1038960;267788;13708189;70463;43715466
