População por Condição de Atividade e por Zona de Residência - 2012;;;;;;;;;
Zona;Ocupado;Faz bico;Em Licença;Aposentado;Sem trabalho;Nunca trabalhou;Dona de casa;Estudante;População total
1;280772.6732544;9634.3564352;2752.6732672;72257.6732640001;26150.3960384;21333.2178208;19956.8811872;53677.1287104001;486534.999977592
2;273618.874920499;17622.9105881;4637.6080495;54723.7749841001;51941.2101544001;53796.2533742001;47303.6021049;118722.7660672;622367.000242904
3;316131.666772;30012.50001;5002.083335;90037.5000299999;45018.750015;48020.000016;48020.000016;138057.500046;720300.000240005
4;428517.033743996;36696.210072;5918.74356;138498.599304;62738.681736;47349.94848;56819.938176;142049.84544;918589.000511984
5;110343.7505295;2620.3001445;1164.577842;37848.779865;10190.0561175;10772.3450385;11063.489499;23582.7013005;207586.000336504
6;229672.815708599;20106.0377388;2319.9274314;81970.7692427999;31705.6748958;34798.911471;51038.4034908;81197.4600989999;532810.000078199
7;175512.636734401;5372.8358184;1343.2089546;67608.1840481998;17909.452728;12984.3532278;23282.2885464;55967.0397749999;359979.999832805
8;152815.720508099;9142.8208851;3047.6069617;45714.1044255001;26557.7178091;23074.7384243;23945.4832705;53550.8080413001;337849.000325597
9;210984.369041599;11822.3999894;3637.6615352;63204.3691741001;33193.6615087;38195.4461196;40468.9845791;71389.1076283001;472895.99957601
10;290652.583676001;19668.219948;6556.073316;84136.274222;60097.3387300001;57911.9809580001;79765.558678;146418.970724;745207.000251993
11;174334.0993634;14990.5117287;2776.0206905;29425.8193193;27760.206905;38864.2896670001;36088.2689765001;78283.7834721002;402523.000122494
12;186728.995498501;11080.6217109;3283.1471736;49247.2076039999;29958.7179591;30369.1113558;44322.4868436;80026.7123565;435017.000501992
13;217863.053743198;20234.958552;4721.4903288;38446.4212488;46540.4046696;35073.9281568;23607.451644;101849.2913784;488336.999721603
14;89314.9409802005;444.3529402;1777.4117608;30660.3528737999;3776.9999917;5776.5882226;5110.0588123;17996.2940781;154856.999659702
15;140117.163422399;2919.1075713;973.0358571;40218.8154268001;11676.4302852;9730.358571;8108.6321425;30488.4568558;244232.000132097
16;137201.6284405;6046.1734567;930.1805318;52090.1097807999;14882.8885088;11627.2566475;11162.1663816;28835.5964858;262776.000233503
17;216562.835916199;5835.5255187;648.3917243;71971.4813973002;29826.0193178;35661.5448365;29826.0193178;79752.1820889002;470084.000117495
18;389859.412695998;34125.624984;4136.439392;114786.193128;46534.94316;38262.064376;44466.723464;146843.598415999;819014.999615995
19;297273.3519107;40071.3295679;8387.0224677;70823.7452827999;65232.3969709999;49390.2434209;56845.3745033;158421.535501;746444.9996253
20;377846.157092001;32284.323549;5978.578435;57394.3529760001;59785.7843500001;76525.8039680001;72938.6569070001;170987.343241;853741.000517992
21;243643.304397601;11492.608698;5363.2173924;49035.1304448;39841.0434864;42905.7391392;29114.6087016;89642.3478443998;511038.000104394
22;156512.389093201;11767.848804;2647.7659809;42658.4519144999;22358.9127276;21182.1278472;22947.3051678;46777.1989958999;326852.000531102
23;138748.0982632;6794.3656366;1787.990957;52924.5323272;11800.7403162;15376.7222302;17879.90957;31468.6408432;276781.0001436
24;234407.210333998;10082.030552;5671.1421855;54190.9142170001;28985.837837;41588.376027;52300.5334885001;109011.9553435;536237.999984493
25;586622.399591999;43133.99997;17253.599988;153844.599893;66138.7999540001;100645.99993;133715.399907;278933.199806;1380287.99904002
26;534879.715604998;66108.728895;9615.815112;163468.856904;98562.1048979999;112985.827566;105773.966232;260828.984913001;1352224.00012503
27;615078.713553001;48719.106024;4059.925502;219235.977108001;97438.212048;99468.174799;107588.025803;225325.865361001;1416914.00019798
28;493708.012195999;34701.521624;11041.393244;159311.531092;108836.590548;86753.8040599999;94640.5135199999;178239.633796;1167233.00008002
29;364445.703664204;16057.9524603;5585.3747688;78893.4186092998;46079.3418425999;49570.2010730999;61439.1224567999;141728.8847583;763799.999633411
30;122814.772317801;5603.7158472;1400.9289618;25216.7213124;16811.1475416;16811.1475416;17745.1001828;49966.4663041999;256370.000009399
31;738233.800479996;52431.377875;14680.785805;159391.38874;153099.623395;174072.174545;134224.32736;316685.522365001;1742819.00056501
Total;8925217.8834488;637624.377594999;149099.8225116;2449236.05015953;1391430.0864455;1440878.6789106;1511509.28093;3506706.82203582;20011703.0020306
