Dados Gerais por Zona de Pesquisa - 2012;;;;;;;;;
Zona;Domicílios;Famílias;População;Matrículas escolares;Empregos;Automóveis particulares;Viagens produzidas por dia;Viagens atraídas por dia;Área total (ha)
1;201429.000021002;202064.422734002;486534.999977592;294055.4529492;1061339.6341167;103791.218000183;2785207.32137649;2790473.41174791;3300.26
2;187680.999922;191397.455366;622367.000242904;151011.7263011;193562.263743;121408.2382178;1107603.78457774;1107811.59076962;11743.42
3;218041.000036001;219018.762368001;720300.000240005;147487.2765345;223699.2220608;139820.013476001;1222482.33405589;1216374.23052159;5937.38
4;290287.999898998;290287.999898998;918589.000511984;205755.3621356;436149.901895199;212461.904718836;1927894.26739733;1921032.05247373;12794.02
5;71476.9998800001;72301.7344940001;207586.000336504;70877.7578511;192037.6138283;69002.7960380001;679149.887424825;688325.176993943;2121.04
6;166085.99997;185537.513479999;532810.000078199;95878.0039934999;144839.6356467;107485.323694865;933543.344210945;929556.967669507;3303.22
7;118615.000050001;121690.203755001;359979.999832805;125466.077658;231666.721881599;113932.7835906;988357.631690477;988411.200681493;3055.03
8;105210.999894001;112042.883004001;337849.000325597;76399.7844568002;89994.3435135003;81377.2929113025;672047.676046215;677955.034176931;2609.09
9;146336.000118;151397.937229;472895.99957601;111627.5137666;166584.9498965;116139.709379352;893129.03965592;891941.047240945;4136.73
10;216548.000007001;220503.214619001;745207.000251993;212208.813706;195561.3815231;111409.497331221;1295812.33685555;1306612.3352639;4782.58
11;120073.999967999;125632.981447999;402523.000122494;99360.0926475002;120939.7980134;75828.4076968544;824988.117349115;816632.962444616;4488.5
12;125859.999866999;132525.482725999;435017.000501992;99726.6172228002;115011.8095663;78556.6382373057;761904.726335349;764847.6076516;4551.54
13;140424.000084;144494.260956;488336.999721603;112487.8151852;98261.5095955001;74888.7388514267;743019.384595625;734119.142588063;3273.05
14;67413.0001410004;67413.0001410004;154856.999659702;44960.375842;392722.8852222;72430.7962680002;907911.43484235;912956.34186057;1456.46
15;99649.9999540005;99649.9999540005;244232.000132097;68839.1925135;502707.4635755;132086.409335;1195571.59782022;1191205.60637265;2809.31
16;102416.99992;102416.99992;262776.000233503;95020.4302115999;278456.0797347;93809.9647301245;891129.103637479;896930.390529536;1779.31
17;154030.999955;157803.187709;470084.000117495;107617.4666015;194353.1630135;112338.268506947;1078881.79945717;1077878.4368964;3791.24
18;259396.000061999;259396.000061999;819014.999615995;235872.608545799;478805.875194801;156216.178476;1990020.86138403;1987538.15304763;7350.69
19;216475.000114999;221864.419204999;746444.9996253;213894.1991291;214032.1943529;124854.875585;1322266.25945525;1318530.55915222;49416.32
20;257214.999938001;265362.081384001;853741.000517992;203238.6158174;214271.4476027;128806.522641239;1407406.45867198;1399732.57937463;7677.59
21;160576.999968;161293.861575;511038.000104394;123828.0929785;223562.891646701;100360.62498;988630.745478408;995232.804935815;4453.6
22;104365.999836001;105488.214888001;326852.000531102;97186.8050604998;191691.7402777;86787.0626896625;723744.66368923;726790.679171543;4134.88
23;104889.999951;104889.999951;276781.0001436;162304.1780605;412629.5982765;116892.116414513;1212740.67468716;1213465.72643587;3702.5
24;156186.000002001;156186.000002001;536237.999984493;115943.351348;149460.0653037;95184.637234495;842746.988446787;845749.093893732;73327.6
25;409579.000142999;410986.488115999;1380287.99904002;360075.928725899;599683.219572799;256162.811085999;2546786.0172047;2545912.197464;78024.87
26;392077.999994999;403442.579704999;1352224.00012503;353838.9372692;463854.222561599;232614.767676284;2584155.31397223;2589138.35144381;206697.21
27;445480.999881999;451072.811595999;1416914.00019798;380107.865728002;578005.581878004;313141.455983999;3414211.93820921;3407564.76947847;38849.48
28;362761.999949999;370415.206699999;1167233.00008002;317233.067771599;561075.2322241;276038.925264451;2654355.29031176;2658065.99183765;44116.09
29;222069.000119999;226641.008945999;763799.999633411;168810.7603814;256264.510790002;161335.089890296;1297532.95996453;1298512.20529584;110670.98
30;75578.9999940001;76045.5370310001;256370.000009399;65489.8243481999;114927.7666731;57697.1023482521;477859.748393039;476944.423402933;36747.92
31;518591.9999;520586.584515;1742819.00056501;449486.331188801;717219.862016297;324461.075810989;3344374.35620205;3339224.99258189;55476.18
Total;6216825.999542;6329848.833478;20011703.0020362;5366090.3259294;9813372.5851974;4247321.247065;43715466.063399;43715466.063399;796578.09
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;   ;;;;;
