Número de Matrículas Escolares por Tipo e por Zona da Escola - 2012;;;
Zona;Pública;Particular;Total de matrículas
1;76971.7081880001;217083.7447612;294055.4529492
2;116179.1162763;34832.6100248;151011.7263011
3;115488.9912994;31998.2852351;147487.2765345
4;122927.095847;82828.2662886;205755.3621356
5;23918.1538402;46959.6040109;70877.7578511
6;81164.4978651999;14713.5061283;95878.0039934999
7;61586.9189307;63879.1587273001;125466.077658
8;58074.8579903001;18324.9264665;76399.7844568002
9;86647.8696127001;24979.6441539;111627.5137666
10;171053.6845881;41155.1291179;212208.813706
11;64769.0949067001;34590.9977408;99360.0926475002
12;78428.6288551;21297.9883677;99726.6172228002
13;105187.6248631;7300.1903221;112487.8151852
14;16704.8318975;28255.5439445;44960.375842
15;23531.6858518;45307.5066617;68839.1925135
16;26185.7750125;68834.6551990999;95020.4302115999
17;72318.1308513002;35299.3357502;107617.4666015
18;125791.4148005;110081.1937453;235872.608545799
19;184906.8090995;28987.3900296;213894.1991291
20;172657.3167673;30581.2990501;203238.6158174
21;86496.5178976999;37331.5750808;123828.0929785
22;73594.8889526998;23591.9161078;97186.8050604998
23;31479.6166274;130824.5614331;162304.1780605
24;107121.574615;8821.776733;115943.351348
25;290673.862604;69402.0661219;360075.928725899
26;292683.306987201;61155.630282;353838.9372692
27;244044.946424001;136062.919304;380107.865728002
28;237623.7971629;79609.2706086999;317233.067771599
29;141916.0211881;26894.7391933;168810.7603814
30;56266.5083045999;9223.3160436;65489.8243481999
31;365888.989855401;83597.3413334001;449486.331188801
Total;3712284.23796222;1653806.08796721;5366090.32592945
