Número de Empregos por Setor de Atividade e por Zona de Emprego - 2012;;;;
Zona;Setor secundário;Setor terciário;Outros;Total de empregos
1;98504.5918484;962835.0422683;0;1061339.6341167
2;34782.5449328;158779.7188102;0;193562.263743
3;43959.2090111;179184.8089116;555.2041381;223699.2220608
4;69174.0022066;366975.8996886;0;436149.9018952
5;45597.7012956;146439.9125327;0;192037.6138283
6;29306.2133879;115533.4222588;0;144839.6356467
7;38144.6274791;193522.0944025;0;231666.7218816
8;12581.9948398;77412.3486737;0;89994.3435135
9;35067.7844401;131517.1654564;0;166584.9498965
10;26471.926328;169089.4551951;0;195561.3815231
11;29106.7763871;91833.0216263;0;120939.7980134
12;25591.5450458;89420.2645205;0;115011.8095663
13;12869.9125661;85391.5970294;0;98261.5095955
14;34253.0608753;358015.116655;454.7076919;392722.8852222
15;56038.3051018;446669.1584737;0;502707.4635755
16;23883.0011965;254573.0785382;0;278456.0797347
17;43830.17859;150522.9844235;0;194353.1630135
18;75406.2418424;403399.6333524;0;478805.8751948
19;26107.7314936;187924.4628593;0;214032.1943529
20;47012.2293205;167259.2182822;0;214271.4476027
21;32856.7357825;190706.1558642;0;223562.8916467
22;37526.617823;154165.1224547;0;191691.7402777
23;60847.8070981;351781.7911784;0;412629.5982765
24;42792.0462876;102612.338236;4055.6807801;149460.0653037
25;191327.2012598;408356.018313;0;599683.2195728
26;124959.5320461;332884.8060705;6009.884445;463854.2225616
27;140631.2335612;437374.3483168;0;578005.581878
28;203918.3182055;357156.9140186;0;561075.2322241
29;62873.9156608;192692.4232831;698.1718461;256264.51079
30;35374.3485868;79553.4180863;0;114927.7666731
31;157481.0583988;559738.803617501;0;717219.862016301
Total;1898278.3928987;7903320.5433975;11773.6489012;9813372.5851974
