Empregos em Endereço Fixo, na Propria Residência e Sem Endereço Fixo, por Zona de Emprego - 2012;;;;
Zona;Empregos em endereço fixo;Empregos na própria residência;Empregos sem endereço fixo(**);Total
1;33032.0792064;1013167.8519407;15139.7029696;1061339.6341167
2;23188.0402475;156461.399347;13912.8241485;193562.263743
3;24010.000008;164674.6387078;35014.583345;223699.2220608
4;39063.707496;367492.4765992;29593.7178;436149.9018952
5;5822.88921;177771.5352638;8443.1893545;192037.6138283
6;10826.3280132;113907.2698947;20106.0377388;144839.6356467
7;20595.8706372;206593.488062399;4477.363182;231666.721881599
8;10448.9381544;72144.0741664001;7401.3311927;89994.3435135001
9;18643.0153679;131572.4576202;16369.4769084;166584.9498965
10;20760.898834;145298.1527671;29502.329922;195561.3815231
11;9438.4703477;98176.4283513002;13324.8993144;120939.7980134
12;11491.0151076;81769.9444335999;21750.8500251;115011.8095663
13;23607.451644;63862.0800571001;10791.9778944;98261.5095955001
14;15774.5293771;373615.708793601;3332.6470515;392722.885222201
15;24974.5869989;468651.208577;9081.6679996;502707.4635755
16;19068.7009019;253806.295642;5581.0831908;278456.0797347
17;15561.4013832;170362.669214401;8429.0924159;194353.163013501
18;29989.185592;421929.833554799;26886.856048;478805.875194799
19;20501.6104766;176756.5389409;16774.0449354;214032.1943529
20;34675.754923;138941.3593217;40654.333358;214271.4476027
21;16855.8260904;186020.3698999;20686.6956564;223562.8916467
22;11473.6525839;163154.706928;17063.3807658;191691.7402777
23;19310.3023356;382233.7520075;11085.5439334;412629.5982765
24;11342.284371;117323.5929192;20794.1880135;149460.0653037
25;34507.199976;499037.219642798;66138.7999540001;599683.219572798
26;32453.376003;359282.2332186;72118.61334;463854.2225616
27;38569.292269;490717.183585002;48719.106024;578005.581878002
28;25237.470272;491672.1889761;44165.572976;561075.2322241
29;23039.6709213;196221.732025401;37003.1078432999;256264.510790001
30;10740.4553738;95781.7375285002;8405.5737708;114927.7666731
31;60820.398335;606065.3409213;50334.12276;717219.8620163
Total;695824.4024576;8384465.468908;733082.7138318;9813372.58519739
