Viagens Diárias Produzidas por Motivo e por Zona de Origem - 2012;;;;;;;;;;
Zona;Trabalho na indústria;Trabalho no comércio;Trabalho em serviços;Educação;Compras;Saúde;Lazer;Procurar emprego;Assuntos pessoais;Total
1;123792;336503;1075918;500737;131369;88367;112385;9937;406199;2785207
2;68562;60633;354108;446205;28632;24501;26544;747;97672;1107604
3;89426;115699;358759;454838;41141;42019;32228;3508;84865;1222482
4;82326;121975;672625;555331;111688;84778;102640;5915;190617;1927894
5;70623;69781;209408;165465;23946;35652;31193;788;72293;679150
6;85959;88083;232291;294550;39051;36508;47516;1808;107778;933543
7;58733;91844;281018;310349;40340;45030;48639;2597;109808;988358
8;35702;59118;163571;227344;52911;31000;23519;1750;77132;672048
9;49113;62114;267799;311702;34921;44938;40372;3073;79098;893129
10;59205;132003;265862;589344;29794;44775;37264;3478;134089;1295812
11;63612;49019;207601;319122;37989;25428;34983;788;86446;824988
12;50334;72602;173002;302363;31222;23493;28798;1692;78399;761905
13;47507;44034;202333;313403;23276;37289;21366;3867;49945;743019
14;44129;58131;425558;127348;31015;49746;52292;2189;117503;907911
15;79783;78128;541013;192448;39973;51056;63748;5783;143640;1195572
16;32973;51204;393333;194175;38436;38027;39167;1041;102772;891129
17;87269;70543;295317;355853;51488;42434;43247;2191;130539;1078882
18;113255;153182;706394;601158;86327;53151;71055;10257;195242;1990021
19;64190;98755;376396;542177;45110;45461;20933;2178;127066;1322266
20;98416;77427;387724;609006;48763;38445;47935;3234;96457;1407406
21;51083;89236;330049;351405;34817;20102;28593;896;82449;988631
22;47594;57592;267468;245502;22225;22621;23338;2288;35118;723745
23;67980;104539;429016;296143;75419;34794;66905;1623;136322;1212741
24;90324;65008;230115;306677;22351;40807;26525;3693;57248;842747
25;338134;121616;806086;914967;73361;53737;74949;2880;161056;2546786
26;274416;175987;645742;919618;125391;101133;148856;2810;190203;2584155
27;294166;247014;819422;906520;329065;205567;198053;0;414404;3414212
28;370933;222157;626922;741972;135865;124428;102231;758;329089;2654355
29;109552;112061;414447;498376;26977;25080;27179;0;83860;1297533
30;61370;32059;144228;196199;7096;4673;6071;0;26164;477860
31;325518;326265;970490;1199530;119472;84446;56246;5471;256936;3344374
Total;3435980;3444314;13274015;13989828;1939430;1599486;1684768;87237;4260408;43715466
