Viagens Diárias Atraídas por Tipo e por Zona de Destino - 2012;;;;;
Zona;Coletivo ;Individual;Motorizado;Não motorizado;Total
1;1265604.04186237;675056.713013823;1940660.75487619;849812.656871729;2790473.41174792
2;409680.444554759;328051.956590581;737732.40114534;370079.189624276;1107811.59076962
3;444295.024038264;381612.827010069;825907.851048334;390466.379473246;1216374.23052158
4;793621.660203966;672459.47454601;1466081.13474998;454950.917723733;1921032.05247371
5;250781.37838035;307328.772159808;558110.150540157;130215.026453787;688325.176993944
6;282706.780163565;282457.323318555;565164.10348212;364392.864187368;929556.967669488
7;338990.24052658;396293.013458903;735283.253985483;253127.946696012;988411.200681495
8;218962.555269657;247539.226766418;466501.782036075;211453.25214084;677955.034176915
9;340267.209886846;310090.206181763;650357.41606861;241583.631172347;891941.047240957
10;505829.510054754;309967.20990846;815796.719963213;490815.615300664;1306612.33526388
11;310469.081126184;204011.257447878;514480.338574062;302152.623870551;816632.962444613
12;258158.897453303;170927.941812236;429086.839265539;335760.76838605;764847.607651589
13;283312.620739419;115108.206559728;398420.827299147;335698.315288908;734119.142588055
14;415165.78171855;302968.033139504;718133.814858054;194822.52700252;912956.341860574
15;407083.208735101;545342.967229526;952426.175964627;238779.430408043;1191205.60637267
16;371091.468819161;293868.613720765;664960.082539925;231970.30798962;896930.390529545
17;338015.063808603;357629.598770785;695644.662579389;382233.774317045;1077878.43689643
18;884544.544607469;608413.483056605;1492958.02766407;494580.125383571;1987538.15304764
19;519764.424933802;223626.985761805;743391.410695607;575139.148456603;1318530.55915221
20;511523.43750392;294042.136046726;805565.573550646;594167.005823981;1399732.57937463
21;381567.451428006;294232.611699369;675800.063127375;319432.741808446;995232.804935821
22;292820.221095274;254868.227887254;547688.448982528;179102.230189004;726790.679171532
23;526835.628818069;485228.825583584;1012064.45440165;201401.272034224;1213465.72643588
24;309273.809814758;233029.771457179;542303.581271936;303445.512621787;845749.093893723
25;860077.08775293;741764.347956971;1601841.4357099;944070.761754144;2545912.19746405
26;734236.15244884;716426.114211405;1450662.26666025;1138476.08478363;2589138.35144387
27;1082722.41985517;1352677.02433121;2435399.44418638;972165.32529202;3407564.7694784
28;878559.800195185;1002609.33644792;1881169.1366431;776896.855194592;2658065.99183769
29;436949.443874343;346916.542287614;783865.986161958;514646.219133831;1298512.20529579
30;149177.667289416;148053.033713392;297230.701002807;179713.722400131;476944.423402938
31;1341883.67499123;992916.579718064;2334800.25470929;1004424.73787261;3339224.9925819
Total;16143970.7319498;13595518.3617939;29739489.0937437;13975976.9696553;43715466.0633991
;;;;;
Notas:;;;;;
;;;;;
São considerados como modo coletivo: metrô, trem, ônibus, transporte fretado, transporte escolar e vans/microônibus/lotação.;;;;;
;;;;;
São considerados como modo individual: dirigindo automóvel, passageiro de automóvel, táxi, motocicleta e outros.;;;;;
;;;;;
Modo motorizado é a soma dos modos coletivo e individual.;;;;;
;;;;;
Modo não-motorizado é a soma dos modos a pé e bicicleta.;;;;;
;;;;;
"Viagem a pé é aquela realizada a pé da origem ao destino; não se complementa com nenhum outro modo de transporte.  ";;;;;
"Foram consideradas todas as viagens a pé pelos motivos trabalho e escola, independentemente da distância percorrida;";;;;;
para os demais motivos, quando a distância da viagem a pé  foi superior a 500 metros.;;;;;
