Renda Total, Renda Média Familiar, Renda per Capita e Renda Mediana Familiar por Zona de Residência - 2012;;;;
Residência;Renda total;Renda média familiar;Renda per capita;Renda mediana familiar
1;796468814.847934;3941.65783402855;1637.02264972636;3000
2;589592671.245753;3080.4624341442;947.339224309196;2204.83669913225
3;593831507.929011;2711.32710964387;824.422473595925;2110
4;1006017073.11207;3465.58270910994;1095.17648540464;2800
5;363631673.512757;5029.36307209798;1751.71578489541;3987.46113365568
6;489535836.514741;2638.47362904058;918.781247429464;1900
7;427467013.83766;3512.74795051113;1187.47434311962;2845.77295901931
8;350988310.679507;3132.62477070475;1038.89107364902;2441.5
9;475970063.990804;3143.83453765863;1006.50050839413;2634
10;457917675.49169;2076.69387624534;614.483861983106;1840
11;322834242.708555;2569.66155692309;802.026822343845;2173
12;286603604.34413;2162.63014817077;658.833112299981;1820
13;317185962.094851;2195.14574486413;649.522690837837;2000
14;572983560.741625;8499.60036703867;3700.08176576295;5587.18018667728
15;912028698.34069;9152.32010799491;3734.27191296556;6613.64355772001
16;554847815.594623;5417.53630772262;2111.48588570335;4000
17;501319951.938463;3176.86834604971;1066.4475962023;2209.67339826449
18;780248540.766494;3007.94360969331;952.666973293925;2209.67339826449
19;582844236.595037;2627.02887954511;780.826768064108;1870
20;587124918.971274;2212.54263574175;687.708472024942;1900
21;494430309.806978;3065.40066050234;967.502044282376;2209.67339826449
22;379746799.80127;3599.89786730637;1161.83104030026;2845.77295901931
23;582298748.465753;5551.51824518807;2103.8248585114;4000
24;373831519.975379;2393.5021062745;697.137315867562;2000
25;1001045396.39966;2435.71364350333;725.243860046511;2030.97245661701
26;891512733.451491;2209.76361519246;659.293677208112;1800
27;1300780621.21349;2883.74867155266;918.037806833534;2111
28;1013654206.79286;2736.53507863089;868.424904644888;2200
29;575527457.291391;2539.37917046831;753.505443267371;2044
30;216238162.884661;2843.53522017355;843.461258636867;2400
31;1388590540.00431;2667.35751805432;796.749713856767;2000
Total;19187098669.3449;3031.20961876153;958.793895121896;2200
